episode,step,position.0,position.1,position.2,engagement,action.0,action.1,action.2,action.3,success,stage.approach,stage.engage,stage.release,stage.transport
ep_0000,0,0.264708102,-0.206994995,0.286879361,0,0,0,0,0,0,0,0,0,0
ep_0000,1,0.245775461,-0.200755879,0.278724194,0,-0.0189326406,0.00623911619,-0.0081551671,0,0,0,0,0,0
ep_0000,2,0.223300397,-0.176034421,0.266647846,0,-0.0224750638,0.0247214586,-0.0120763481,0,0,0,0,0,0
ep_0000,3,0.204030111,-0.151829973,0.267726094,0,-0.019270286,0.0242044479,0.00107824802,0,0,0,0,0,0
ep_0000,4,0.191506431,-0.145224914,0.254750878,0,-0.0125236809,0.00660505891,-0.0129752159,0,0,0,0,0,0
ep_0000,5,0.170321316,-0.120759979,0.242128626,0,-0.021185115,0.0244649351,-0.0126222521,0,0,0,0,0,0
ep_0000,6,0.152465239,-0.0936680511,0.237366274,0,-0.0178560764,0.0270919278,-0.00476235151,0,0,0,0,0,0
ep_0000,7,0.133727729,-0.072761178,0.229243904,0,-0.0187375098,0.020906873,-0.00812236965,0,0,0,0,0,0
ep_0000,8,0.117271401,-0.0599605404,0.215883657,0,-0.0164563283,0.0128006376,-0.013360247,0,0,0,0,0,0
ep_0000,9,0.0926371068,-0.0449454263,0.216615915,0,-0.0246342942,0.0150151141,0.000732257962,0,0,0,0,0,0
ep_0000,10,0.0746657327,-0.0265176296,0.209382325,0,-0.0179713741,0.0184277967,-0.00723358989,0,0,0,0,0,0
ep_0000,11,0.0617867783,-0.00208834792,0.196599633,0,-0.0128789544,0.0244292822,-0.0127826929,0,0,1,0,0,0
ep_0000,12,0.037164256,0.00568257459,0.187468484,0,-0.0246225223,0.0077709225,-0.00913114846,0,0,1,0,0,0
ep_0000,13,0.0392705202,0.0115530714,0.168271437,0,0.00210626423,0.00587049685,-0.0191970468,0,0,1,0,0,0
ep_0000,14,0.0418059975,0.0104867825,0.157568291,0,0.00253547728,-0.00106628891,-0.0107031465,0,0,1,0,0,0
ep_0000,15,0.0350056253,0.00868675392,0.131957084,0,-0.00680037215,-0.00180002861,-0.0256112069,0,0,1,0,0,0
ep_0000,16,0.0424491689,0.0158706866,0.114491239,0,0.00744354352,0.0071839327,-0.0174658448,0,0,1,0,0,0
ep_0000,17,0.0384690203,0.00944743305,0.0908134505,0,-0.00398014858,-0.00642325357,-0.0236777887,0,0,1,0,0,0
ep_0000,18,0.0412174873,0.0141208917,0.075132899,0,0.00274846703,0.00467345864,-0.0156805515,0,0,1,0,0,0
ep_0001,0,0.259534746,-0.168543905,0.305073649,0,0,0,0,0,0,0,0,0,0
ep_0001,1,0.241902888,-0.140154853,0.300950885,0,-0.0176318586,0.0283890516,-0.00412276387,0,0,0,0,0,0
ep_0001,2,0.227113873,-0.109117925,0.290350169,0,-0.0147890151,0.0310369283,-0.0106007159,0,0,0,0,0,0
ep_0001,3,0.226093009,-0.0919920206,0.284383625,0,-0.00102086365,0.0171259046,-0.00596654415,0,0,0,0,0,0
ep_0001,4,0.205139175,-0.0584321395,0.275186539,0,-0.0209538341,0.0335598812,-0.0091970861,0,0,0,0,0,0
ep_0001,5,0.206331342,-0.0264516026,0.266435117,0,0.0011921674,0.0319805369,-0.00875142217,0,0,0,0,0,0
ep_0001,6,0.196391523,-0.00734297372,0.245689124,0,-0.00993981957,0.0191086289,-0.0207459927,0,0,0,0,0,0
ep_0001,7,0.183667898,0.0272688959,0.239494666,0,-0.0127236247,0.0346118696,-0.00619445741,0,0,0,0,0,0
ep_0001,8,0.169875905,0.0448007286,0.226301864,0,-0.0137919933,0.0175318327,-0.0131928027,0,0,0,0,0,0
ep_0001,9,0.160180032,0.0815092027,0.218868002,0,-0.00969587266,0.0367084742,-0.00743386149,0,0,0,0,0,0
ep_0001,10,0.15491724,0.107083648,0.20648329,0,-0.00526279211,0.0255744457,-0.0123847127,0,0,0,0,0,0
ep_0001,11,0.139232174,0.139979005,0.194312781,0,-0.0156850666,0.0328953564,-0.0121705085,0,0,1,0,0,0
ep_0001,12,0.133296758,0.161742434,0.189147517,0,-0.00593541563,0.021763429,-0.00516526401,0,0,1,0,0,0
ep_0001,13,0.123139888,0.159058169,0.171136439,0,-0.0101568699,-0.00268426538,-0.0180110782,0,0,1,0,0,0
ep_0001,14,0.13302359,0.164940879,0.149708971,0,0.0098837018,0.00588271022,-0.0214274675,0,0,1,0,0,0
ep_0001,15,0.12820749,0.162103996,0.12688531,0,-0.0048161,-0.00283688307,-0.0228236616,0,0,1,0,0,0
ep_0001,16,0.122411452,0.160828412,0.103206314,0,-0.00579603761,-0.0012755841,-0.0236789957,0,0,1,0,0,0
ep_0001,17,0.128220022,0.161941946,0.0861433595,0,0.00580856949,0.00111353397,-0.0170629546,0,0,1,0,0,0
ep_0001,18,0.133282095,0.171993002,0.0785871446,0,0.00506207347,0.0100510567,-0.00755621493,0,0,1,0,0,0
ep_0002,0,-0.100655615,0.290097773,0.338856518,0,0,0,0,0,0,0,0,0,0
ep_0002,1,-0.0747870132,0.26316157,0.318012923,0,0.0258686021,-0.0269362032,-0.0208435953,0,0,0,0,0,0
ep_0002,2,-0.0659598932,0.237359777,0.311185986,0,0.00882712007,-0.0258017927,-0.0068269372,0,0,0,0,0,0
ep_0002,3,-0.0436068512,0.209843725,0.293673992,0,0.0223530419,-0.0275160521,-0.0175119936,0,0,0,0,0,0
ep_0002,4,-0.0299771987,0.191432774,0.268957555,0,0.0136296526,-0.0184109509,-0.0247164369,0,0,0,0,0,0
ep_0002,5,-0.020867357,0.165410981,0.264406711,0,0.00910984166,-0.0260217935,-0.00455084443,0,0,0,0,0,0
ep_0002,6,-0.00899584778,0.14191395,0.254413754,0,0.0118715093,-0.0234970301,-0.00999295712,0,0,0,0,0,0
ep_0002,7,0.00767697766,0.11248374,0.234545872,0,0.0166728254,-0.0294302106,-0.0198678821,0,0,0,0,0,0
ep_0002,8,0.0311130546,0.0891840756,0.217041224,0,0.0234360769,-0.0232996643,-0.0175046474,0,0,0,0,0,0
ep_0002,9,0.0462023467,0.0633077025,0.203645155,0,0.0150892921,-0.0258763731,-0.0133960694,0,0,0,0,0,0
ep_0002,10,0.0502537005,0.0321497992,0.193237916,0,0.00405135378,-0.0311579034,-0.0104072392,0,0,0,0,0,0
ep_0002,11,0.0704689994,0.0114290453,0.18635869,0,0.020215299,-0.0207207538,-0.00687922537,0,0,1,0,0,0
ep_0002,12,0.0844163001,-0.0233382694,0.160954341,0,0.0139473006,-0.0347673148,-0.025404349,0,0,1,0,0,0
ep_0002,13,0.0933605805,-0.0133982431,0.146392599,0,0.00894428045,0.00994002633,-0.0145617425,0,0,1,0,0,0
ep_0002,14,0.0843461305,-0.0210992396,0.130431175,0,-0.00901445001,-0.00770099647,-0.0159614235,0,0,1,0,0,0
ep_0002,15,0.0800434947,-0.0259032268,0.114097945,0,-0.00430263579,-0.00480398722,-0.0163332298,0,0,1,0,0,0
ep_0002,16,0.0820140839,-0.0186715238,0.094158031,0,0.00197058916,0.00723170303,-0.0199399143,0,0,1,0,0,0
ep_0002,17,0.0834418461,-0.0174017828,0.0787921473,0,0.00142776221,0.00126974098,-0.0153658837,0,0,1,0,0,0
ep_0002,18,0.0771983564,-0.0139875468,0.0481999926,0,-0.00624348968,0.00341423601,-0.0305921547,0,0,1,0,0,0
ep_0003,0,-0.166090101,0.0574673899,0.378040344,0,0,0,0,0,0,0,0,0,0
ep_0003,1,-0.171837255,0.0403757915,0.361384481,0,-0.00574715436,-0.0170915984,-0.0166558623,0,0,0,0,0,0
ep_0003,2,-0.166563734,0.0299974065,0.345753789,0,0.00527352095,-0.010378385,-0.0156306922,0,0,0,0,0,0
ep_0003,3,-0.170933872,0.0227975883,0.330530554,0,-0.00437013805,-0.00719981827,-0.0152232349,0,0,0,0,0,0
ep_0003,4,-0.169139385,0.0159360357,0.319732904,0,0.00179448724,-0.0068615526,-0.0107976496,0,0,0,0,0,0
ep_0003,5,-0.168994993,0.00257520983,0.296695322,0,0.000144392252,-0.0133608263,-0.0230375826,0,0,0,0,0,0
ep_0003,6,-0.167806253,-0.00893092435,0.273786545,0,0.00118874013,-0.0115061346,-0.022908777,0,0,0,0,0,0
ep_0003,7,-0.170571029,-0.0166807696,0.262361765,0,-0.00276477635,-0.00774984527,-0.0114247799,0,0,0,0,0,0
ep_0003,8,-0.179894567,-0.0288098007,0.260068476,0,-0.00932353735,-0.0121290311,-0.00229328871,0,0,0,0,0,0
ep_0003,9,-0.17089051,-0.035126403,0.235237584,0,0.00900405645,-0.00631660223,-0.0248308927,0,0,0,0,0,0
ep_0003,10,-0.171370342,-0.0453540273,0.219824329,0,-0.000479832292,-0.0102276243,-0.0154132545,0,0,0,0,0,0
ep_0003,11,-0.1724675,-0.0676684082,0.208340839,0,-0.0010971576,-0.0223143809,-0.0114834905,0,0,1,0,0,0
ep_0003,12,-0.174934775,-0.0685399398,0.190400511,0,-0.00246727467,-0.000871531665,-0.0179403275,0,0,1,0,0,0
ep_0003,13,-0.171309307,-0.064712733,0.173917621,0,0.00362546742,0.00382720679,-0.0164828897,0,0,1,0,0,0
ep_0003,14,-0.172455296,-0.0703253821,0.151655659,0,-0.0011459887,-0.00561264902,-0.0222619623,0,0,1,0,0,0
ep_0003,15,-0.176295012,-0.0704572722,0.143557578,0,-0.00383971632,-0.000131890178,-0.00809808075,0,0,1,0,0,0
ep_0003,16,-0.175484747,-0.0679464042,0.119509861,0,0.000810265541,0.00251086801,-0.0240477175,0,0,1,0,0,0
ep_0003,17,-0.170030147,-0.0760764852,0.0968918055,0,0.00545459986,-0.008130081,-0.0226180553,0,0,1,0,0,0
ep_0003,18,-0.167759374,-0.0740430653,0.0778908134,0,0.00227077305,0.00203341991,-0.0190009922,0,0,1,0,0,0
ep_0004,0,-0.275963128,-0.181902021,0.233132124,0,0,0,0,0,0,0,0,0,0
ep_0004,1,-0.26237312,-0.171957716,0.228059545,0,0.013590008,0.00994430482,-0.00507257879,0,0,0,0,0,0
ep_0004,2,-0.238377556,-0.154294997,0.221377417,0,0.0239955634,0.0176627189,-0.00668212771,0,0,0,0,0,0
ep_0004,3,-0.219630271,-0.147158131,0.215946436,0,0.018747285,0.00713686645,-0.00543098152,0,0,0,0,0,0
ep_0004,4,-0.197379842,-0.138411,0.214188755,0,0.0222504288,0.00874713063,-0.00175768137,0,0,0,0,0,0
ep_0004,5,-0.183663756,-0.132448465,0.209996253,0,0.0137160867,0.00596253574,-0.00419250131,0,0,0,0,0,0
ep_0004,6,-0.146062464,-0.119149894,0.203396156,0,0.0376012921,0.0132985711,-0.00660009682,0,0,0,0,0,0
ep_0004,7,-0.126584589,-0.113318853,0.195057422,0,0.019477874,0.00583104044,-0.00833873451,0,0,0,0,0,0
ep_0004,8,-0.114501961,-0.0956988484,0.200195134,0,0.0120826289,0.0176200047,0.00513771176,0,0,0,0,0,0
ep_0004,9,-0.0906097218,-0.0921733677,0.194106609,0,0.0238922387,0.00352548063,-0.00608852506,0,0,0,0,0,0
ep_0004,10,-0.0685525537,-0.0719794258,0.183394432,0,0.0220571682,0.0201939419,-0.0107121766,0,0,0,0,0,0
ep_0004,11,-0.0496700741,-0.070313856,0.182541773,0,0.0188824795,0.00166556984,-0.000852659345,0,0,1,0,0,0
ep_0004,12,-0.0297275186,-0.051147446,0.175494596,0,0.0199425556,0.01916641,-0.00704717636,0,0,1,0,0,0
ep_0004,13,-0.0265212655,-0.0596725978,0.150993079,0,0.00320625305,-0.00852515176,-0.0245015174,0,0,1,0,0,0
ep_0004,14,-0.0243102461,-0.0556358621,0.147831425,0,0.0022110194,0.00403673574,-0.00316165388,0,0,1,0,0,0
ep_0004,15,-0.0293980148,-0.0536397286,0.119605616,0,-0.00508776866,0.00199613348,-0.0282258093,0,0,1,0,0,0
ep_0004,16,-0.0257384013,-0.0581839494,0.0975999534,0,0.00365961343,-0.00454422086,-0.0220056623,0,0,1,0,0,0
ep_0004,17,-0.0169844702,-0.057854224,0.0812260956,0,0.00875393115,0.000329725444,-0.0163738579,0,0,1,0,0,0
ep_0004,18,-0.0384290107,-0.056563478,0.0646705553,0,-0.0214445405,0.00129074603,-0.0165555403,0,0,1,0,0,0
ep_0005,0,-0.0554980934,0.174734682,0.214886621,0,0,0,0,0,0,0,0,0,0
ep_0005,1,-0.0554845706,0.143891856,0.216089278,0,1.35228038e-05,-0.0308428258,0.00120265782,0,0,0,0,0,0
ep_0005,2,-0.0443915911,0.124849528,0.207273871,0,0.0110929795,-0.019042328,-0.00881540775,0,0,0,0,0,0
ep_0005,3,-0.0432618745,0.0933711007,0.206350118,0,0.00112971663,-0.0314784274,-0.000923752785,0,0,0,0,0,0
ep_0005,4,-0.0418355651,0.0703687742,0.212491855,0,0.00142630935,-0.0230023265,0.0061417371,0,0,0,0,0,0
ep_0005,5,-0.0366599374,0.0397691876,0.213526875,0,0.00517562777,-0.0305995867,0.00103501976,0,0,0,0,0,0
ep_0005,6,-0.0354480185,0.0147016188,0.206622511,0,0.00121191889,-0.0250675678,-0.00690436363,0,0,0,0,0,0
ep_0005,7,-0.0335135087,-0.0182301961,0.204897881,0,0.00193450972,-0.0329318158,-0.00172463059,0,0,0,0,0,0
